,URL,State/Postal,Prices,Address,beds,links
0,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",219900.0," 2992 Howey Rd, Columbus, OH 43224 "," 4 2 1,918 - House for sale</li></ul>","https://www.zillow.com/homedetails/2992-Howey-Rd-Columbus-OH-43224/33878080_zpid/""tabindex=""0""><addressclass=""list-card-addr"">2992HoweyRd,Columbus,OH43224</address></a>"
1,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",279900.0," 4363 Maize Rd, Columbus, OH 43224 "," 4 2 1,980 - House for sale</li></ul>","https://www.zillow.com/homedetails/4363-Maize-Rd-Columbus-OH-43224/33909677_zpid/""tabindex=""0""><addressclass=""list-card-addr"">4363MaizeRd,Columbus,OH43224</address></a>"
2,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",370000.0," 1358 Studer Ave, Columbus, OH 43206 "," 3 3 2,087 - House for sale</li></ul>","https://www.zillow.com/homedetails/1358-Studer-Ave-Columbus-OH-43206/33882281_zpid/""tabindex=""0""><addressclass=""list-card-addr"">1358StuderAve,Columbus,OH43206</address></a>"
3,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",165000.0," 76 S Powell Ave, Columbus, OH 43204 "," 3 2 1,723 - House for sale</li></ul>","https://www.zillow.com/homedetails/76-S-Powell-Ave-Columbus-OH-43204/2067847172_zpid/""tabindex=""0""><addressclass=""list-card-addr"">76SPowellAve,Columbus,OH43204</address></a>"
4,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",244900.0," 8333 Waco Ln, Powell, OH 43065 "," 3 2 1,397 - Coming soon</li></ul>","https://www.zillow.com/homedetails/8333-Waco-Ln-Powell-OH-43065/34124332_zpid/""tabindex=""0""><addressclass=""list-card-addr"">8333WacoLn,Powell,OH43065</address></a>"
5,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",249900.0," 3889 Sugarbark Dr, Canal Winchester, OH 43110 "," 3 3 1,584 - Coming soon</li></ul>","https://www.zillow.com/homedetails/3889-Sugarbark-Dr-Canal-Winchester-OH-43110/71971307_zpid/""tabindex=""0""><addressclass=""list-card-addr"">3889SugarbarkDr,CanalWinchester,OH43110</address></a>"
6,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",279900.0," 1356 Cranwood Dr, Columbus, OH 43229 "," 4 2 1,740 - Coming soon</li></ul>","https://www.zillow.com/homedetails/1356-Cranwood-Dr-Columbus-OH-43229/33923162_zpid/""tabindex=""0""><addressclass=""list-card-addr"">1356CranwoodDr,Columbus,OH43229</address></a>"
7,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",365500.0," 781 Lynnfield Dr, Columbus, OH 43081 "," 4 3 2,434 - House for sale</li></ul>","https://www.zillow.com/homedetails/781-Lynnfield-Dr-Columbus-OH-43081/34127588_zpid/""tabindex=""0""><addressclass=""list-card-addr"">781LynnfieldDr,Columbus,OH43081</address></a>"
8,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",229900.0," 2965 Talbrock Cir, Dublin, OH 43017 "," 3 2 1,220 - Coming soon</li></ul>","https://www.zillow.com/homedetails/2965-Talbrock-Cir-Dublin-OH-43017/34104584_zpid/""tabindex=""0""><addressclass=""list-card-addr"">2965TalbrockCir,Dublin,OH43017</address></a>"
9,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",265000.0," 246 N 21st St, Columbus, OH 43203 "," 4 2 1,918 - House for sale</li></ul>","https://www.zillow.com/homedetails/246-N-21st-St-Columbus-OH-43203/33832026_zpid/""tabindex=""0""><addressclass=""list-card-addr"">246N21stSt,Columbus,OH43203</address></a>"
